group,map_id,player,runtime_all_r10,runtime_all_r100,runtime_all_r25,runtime_all_r50,runtime_neighborhood_cells_r10,runtime_neighborhood_cells_r100,runtime_neighborhood_cells_r25,runtime_neighborhood_cells_r50,runtime_world_density_r10,runtime_world_density_r100,runtime_world_density_r25,runtime_world_density_r50,runtime_world_r10,runtime_world_r100,runtime_world_r25,runtime_world_r50,start_x,start_y,static_all_r10,static_all_r100,static_all_r25,static_all_r50,static_neighborhood_cells_r10,static_neighborhood_cells_r100,static_neighborhood_cells_r25,static_neighborhood_cells_r50,static_world_density_r10,static_world_density_r100,static_world_density_r25,static_world_density_r50,static_world_r10,static_world_r100,static_world_r25,static_world_r50
20p,sav_011,3,2,399,31,135,331,30301,1951,7651,3.021148,13.13488,15.37673,17.51405,1,398,30,134,449,272,1,371,20,120,331,30301,1951,7651,3.021148,12.24382,10.251153,15.684224,1,371,20,120
20p,sav_011,4,10,367,56,162,331,30301,1951,7651,27.190332,12.078809,28.190671,21.043001,9,366,55,161,353,659,6,339,39,141,331,30301,1951,7651,18.126888,11.18775,19.989749,18.428964,6,339,39,141
20p,sav_011,5,16,396,50,146,331,28681,1951,7651,45.317221,13.772184,25.115325,18.951771,15,395,49,145,85,520,8,364,29,124,331,28681,1951,7651,24.169184,12.691329,14.864172,16.207032,8,364,29,124
20p,sav_011,6,7,287,49,108,331,30301,1951,7651,18.126888,9.438632,24.602768,13.9851,6,286,48,107,117,626,2,259,28,87,331,30301,1951,7651,6.042296,8.547573,14.351615,11.371063,2,259,28,87
20p,sav_011,7,9,315,52,116,331,30301,1951,7651,24.169184,10.362694,26.140441,15.030715,8,314,51,115,357,445,8,300,37,101,331,30301,1951,7651,24.169184,9.900663,18.964634,13.200889,8,300,37,101
20p,sav_011,8,9,453,42,173,331,30301,1951,7651,24.169184,14.916999,21.014864,22.480721,8,452,41,172,405,340,4,431,27,151,331,30301,1951,7651,12.084592,14.223953,13.839057,19.735982,4,431,27,151
20p,sav_011,9,3,291,41,111,331,28330,1951,7651,6.042296,10.2012,20.502307,14.377206,2,289,40,110,685,480,1,264,23,89,331,28330,1951,7651,3.021148,9.318743,11.788826,11.632466,1,264,23,89
20p,sav_011,10,6,283,42,98,331,30301,1951,7651,15.10574,9.306624,21.014864,12.678081,5,282,41,97,326,164,2,268,27,83,331,30301,1951,7651,6.042296,8.844593,13.839057,10.848255,2,268,27,83
20p,sav_011,11,4,212,43,112,331,27350,1951,7651,9.063444,7.714808,21.527422,14.507907,3,211,42,111,393,74,2,197,28,97,331,27350,1951,7651,6.042296,7.202925,14.351615,12.678081,2,197,28,97
20p,sav_011,12,8,385,46,150,331,30301,1951,7651,21.148036,12.672849,23.065095,19.474578,7,384,45,149,243,294,2,363,34,128,331,30301,1951,7651,6.042296,11.979803,17.426961,16.729839,2,363,34,128
20p,sav_011,13,11,250,43,97,331,30301,1951,7651,30.21148,8.217551,21.527422,12.547379,10,249,42,96,463,610,4,235,28,82,331,30301,1951,7651,12.084592,7.75552,14.351615,10.717553,4,235,28,82
20p,sav_011,14,12,484,65,152,331,30301,1951,7651,33.232628,15.940068,32.80369,19.735982,11,483,64,151,533,379,9,448,43,130,331,30301,1951,7651,27.190332,14.784991,22.039979,16.991243,9,448,43,130
20p,sav_011,15,3,280,39,102,331,27601,1951,7651,6.042296,10.072099,19.477191,13.200889,2,278,38,101,691,398,2,254,32,95,331,27601,1951,7651,6.042296,9.202565,16.401845,12.416678,2,254,32,95
20p,sav_011,16,11,364,54,127,331,29891,1951,7651,30.21148,12.110669,27.165556,16.468435,10,362,53,126,96,230,10,334,41,112,331,29891,1951,7651,30.21148,11.173932,21.014864,14.638609,10,334,41,112
20p,sav_011,17,14,276,52,127,331,27223,1951,7651,39.274924,10.101752,26.140441,16.468435,13,275,51,126,73,356,8,268,44,119,331,27223,1951,7651,24.169184,9.844617,22.552537,15.553522,8,268,44,119
20p,sav_011,18,8,347,53,117,331,30301,1951,7651,21.148036,11.418765,26.652998,15.161417,7,346,52,116,247,655,2,318,33,95,331,30301,1951,7651,6.042296,10.494703,16.914403,12.416678,2,318,33,95
20p,sav_011,19,12,329,50,98,331,29680,1951,7651,33.232628,11.01752,25.115325,12.678081,11,327,49,97,94,143,8,301,37,83,331,29680,1951,7651,24.169184,10.141509,18.964634,10.848255,8,301,37,83
20p,sav_011,20,8,296,41,114,331,30301,1951,7651,21.148036,9.735652,20.502307,14.769311,7,295,40,113,290,503,3,281,26,99,331,30301,1951,7651,9.063444,9.273621,13.326499,12.939485,3,281,26,99
20p,sav_012,1,5,314,22,96,331,30301,1951,7651,12.084592,10.329692,10.763711,12.416678,4,313,21,95,376,282,4,313,21,95,331,30301,1951,7651,12.084592,10.329692,10.763711,12.416678,4,313,21,95
20p,sav_012,2,3,424,40,112,331,30301,1951,7651,6.042296,13.959935,19.989749,14.507907,2,423,39,111,599,192,3,412,40,105,331,30301,1951,7651,9.063444,13.596911,20.502307,13.723696,3,412,40,105
20p,sav_012,3,5,505,54,150,331,30301,1951,7651,12.084592,16.600112,27.165556,19.474578,4,503,53,149,175,459,4,453,39,128,331,30301,1951,7651,12.084592,14.950002,19.989749,16.729839,4,453,39,128
20p,sav_012,4,13,419,47,127,331,30301,1951,7651,36.253776,13.794924,23.577652,16.468435,12,418,46,126,294,360,7,397,30,105,331,30301,1951,7651,21.148036,13.101878,15.37673,13.723696,7,397,30,105
20p,sav_012,5,9,299,35,72,331,30301,1951,7651,24.169184,9.801657,17.426961,9.279833,8,297,34,71,473,147,8,286,34,71,331,30301,1951,7651,24.169184,9.438632,17.426961,9.279833,8,286,34,71
20p,sav_012,6,8,332,51,131,331,27848,1951,7651,21.148036,11.885952,25.627883,16.991243,7,331,50,130,78,255,6,317,36,116,331,27848,1951,7651,18.126888,11.383223,18.452076,15.161417,6,317,36,116
20p,sav_012,7,9,308,43,144,331,28448,1951,7651,24.169184,10.79162,21.527422,18.690367,8,307,42,143,684,531,8,307,42,143,331,28448,1951,7651,24.169184,10.79162,21.527422,18.690367,8,307,42,143
20p,sav_012,8,14,280,58,110,331,29023,1951,7651,39.274924,9.57861,29.215787,14.246504,13,278,57,109,510,88,8,264,50,102,331,29023,1951,7651,24.169184,9.096234,25.627883,13.331591,8,264,50,102
20p,sav_012,9,8,403,36,127,331,30301,1951,7651,21.148036,13.266889,17.939518,16.468435,7,402,35,126,101,170,4,375,23,106,331,30301,1951,7651,12.084592,12.375829,11.788826,13.854398,4,375,23,106
20p,sav_012,10,10,294,42,123,331,29786,1951,7651,27.190332,9.836836,21.014864,15.945628,9,293,41,122,188,95,5,279,28,108,331,29786,1951,7651,15.10574,9.366817,14.351615,14.115802,5,279,28,108
20p,sav_012,11,4,364,32,121,331,30301,1951,7651,9.063444,11.9468,15.889288,15.684224,3,362,31,120,535,321,3,334,24,113,331,30301,1951,7651,9.063444,11.022739,12.301384,14.769311,3,334,24,113
20p,sav_012,12,8,289,34,94,331,30301,1951,7651,21.148036,9.504637,16.914403,12.155274,7,288,33,93,318,153,7,288,33,93,331,30301,1951,7651,21.148036,9.504637,16.914403,12.155274,7,288,33,93
20p,sav_012,13,7,471,41,142,331,30301,1951,7651,18.126888,15.478037,20.502307,18.428964,6,469,40,141,579,279,6,436,21,120,331,30301,1951,7651,18.126888,14.388964,10.763711,15.684224,6,436,21,120
20p,sav_012,14,6,310,40,130,331,30301,1951,7651,15.10574,10.197683,19.989749,16.860541,5,309,39,129,592,651,5,288,28,108,331,30301,1951,7651,15.10574,9.504637,14.351615,14.115802,5,288,28,108
20p,sav_012,15,9,387,48,158,331,30301,1951,7651,24.169184,12.738854,24.09021,20.520193,8,386,47,157,506,442,4,365,30,136,331,30301,1951,7651,12.084592,12.045807,15.37673,17.775454,4,365,30,136
20p,sav_012,16,5,443,28,111,331,30301,1951,7651,12.084592,14.586977,13.839057,14.377206,4,442,27,110,424,472,3,428,20,103,331,30301,1951,7651,9.063444,14.124946,10.251153,13.462293,3,428,20,103
20p,sav_012,17,11,538,75,212,331,30301,1951,7651,30.21148,17.722187,37.929267,27.578094,10,537,74,211,374,552,4,509,57,190,331,30301,1951,7651,12.084592,16.798125,29.215787,24.833355,4,509,57,190
20p,sav_012,18,7,469,41,136,331,30301,1951,7651,18.126888,15.412033,20.502307,17.644752,6,467,40,135,259,541,3,432,22,114,331,30301,1951,7651,9.063444,14.256955,11.276269,14.900013,3,432,22,114
20p,sav_012,19,6,282,48,127,331,26705,1951,7651,15.10574,10.522374,24.09021,16.468435,5,281,47,126,310,698,2,261,29,106,331,26705,1951,7651,6.042296,9.773451,14.864172,13.854398,2,261,29,106
20p,sav_012,20,9,386,43,107,331,30301,1951,7651,24.169184,12.705851,21.527422,13.854398,8,385,42,106,118,516,4,364,26,85,331,30301,1951,7651,12.084592,12.012805,13.326499,11.109659,4,364,26,85
20p,sav_013,1,6,220,27,99,331,26171,1951,7651,15.10574,8.368041,13.326499,12.808783,5,219,26,98,519,65,5,219,26,98,331,26171,1951,7651,15.10574,8.368041,13.326499,12.808783,5,219,26,98
20p,sav_013,2,6,289,43,121,331,28330,1951,7651,15.10574,10.165902,21.527422,15.684224,5,288,42,120,685,338,3,269,31,106,331,28330,1951,7651,9.063444,9.495235,15.889288,13.854398,3,269,31,106
20p,sav_013,3,7,321,44,114,331,30301,1951,7651,18.126888,10.560708,22.039979,14.769311,6,320,43,113,205,493,5,307,30,100,331,30301,1951,7651,15.10574,10.131679,15.37673,13.070187,5,307,30,100
20p,sav_013,4,6,473,56,163,331,30301,1951,7651,15.10574,15.544041,28.190671,21.173703,5,471,55,162,626,156,3,437,42,148,331,30301,1951,7651,9.063444,14.421966,21.527422,19.343877,3,437,42,148
20p,sav_013,5,12,383,55,139,331,30301,1951,7651,33.232628,12.573842,27.678114,18.036858,11,381,54,138,122,192,7,339,40,124,331,30301,1951,7651,21.148036,11.18775,20.502307,16.207032,7,339,40,124
20p,sav_013,6,9,409,54,146,331,30301,1951,7651,24.169184,13.4319,27.165556,18.951771,8,407,53,145,646,231,4,373,39,123,331,30301,1951,7651,12.084592,12.309825,19.989749,16.07633,4,373,39,123
20p,sav_013,7,9,258,31,108,331,26573,1951,7651,24.169184,9.671471,15.37673,13.9851,8,257,30,107,239,699,4,243,23,93,331,26573,1951,7651,12.084592,9.14462,11.788826,12.155274,4,243,23,93
20p,sav_013,8,15,345,58,132,331,30301,1951,7651,42.296073,11.352761,29.215787,17.121945,14,344,57,131,159,309,9,316,36,110,331,30301,1951,7651,27.190332,10.428699,18.452076,14.377206,9,316,36,110
20p,sav_013,9,9,484,53,193,331,30301,1951,7651,24.169184,15.907066,26.652998,25.094759,8,482,52,192,501,323,7,455,34,172,331,30301,1951,7651,21.148036,15.016006,17.426961,22.480721,7,455,34,172
20p,sav_013,10,3,454,33,143,331,30301,1951,7651,6.042296,14.883997,16.401845,18.559665,2,451,32,142,553,401,2,414,32,135,331,30301,1951,7651,6.042296,13.662915,16.401845,17.644752,2,414,32,135
20p,sav_013,11,10,364,41,124,331,30301,1951,7651,27.190332,11.979803,20.502307,16.07633,9,363,40,123,348,532,9,344,33,116,331,30301,1951,7651,27.190332,11.352761,16.914403,15.161417,9,344,33,116
20p,sav_013,12,3,391,42,103,331,30301,1951,7651,6.042296,12.870862,21.014864,13.331591,2,390,41,102,375,379,2,362,27,88,331,30301,1951,7651,6.042296,11.9468,13.839057,11.501764,2,362,27,88
20p,sav_013,13,11,459,64,147,331,30301,1951,7651,30.21148,15.115013,32.291133,19.082473,10,458,63,146,467,619,4,414,42,125,331,30301,1951,7651,12.084592,13.662915,21.527422,16.337734,4,414,42,125
20p,sav_013,14,12,446,52,166,331,28910,1951,7651,33.232628,15.392598,26.140441,21.565808,11,445,51,165,87,458,5,439,45,159,331,28910,1951,7651,15.10574,15.185057,23.065095,20.781597,5,439,45,159
